Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"For example , Cerberus is expressed in amphibians in the anterior visceral endoderm , and in mice it is expressed in the anterior dorsal endoderm .","For example in amphibians Cerberus expresses anterior visceral endoderm and in mice it expresses adaxial endoderm.","antonym","Predicted Relationship: contradiction with 84.00% confidence."
"During this process , he felt Emily Blunt and found her to be the ideal Tamsin .","During this process he felt for Emily Blount and found her ideal name.","RD","Predicted Relationship: entailment with 60.14% confidence."
"During this process , he felt Emily Blunt and found her to be the ideal Tamsin .","During this process he felt for Emily Blunt and found her to be the ideal limit of Tamsin.","hypernym","Predicted Relationship: neutral with 85.56% confidence."
"During this process , he felt Emily Blunt and found her to be the ideal Tamsin .","During this process he felt for Emily Blunt and found her to be a non ideal Tamsin.","polarity_negation","Predicted Relationship: contradiction with 95.43% confidence."
"During this process , he felt Emily Blunt and found her to be the ideal Tamsin .","During this process he felt for Emily Blunt and found her ideal Tamsin.","RS","Predicted Relationship: neutral with 68.68% confidence."
"During this process , he felt Emily Blunt and found her to be the ideal Tamsin .","During this process he felt for Emily Blunt and lost the ideal Tamsin.","antonym","Predicted Relationship: contradiction with 81.74% confidence."
"The capital is Abidjan since 1983 , but Yamoussoukro remains the administrative center .","Abidjan has been the capital since 1983 but the city remains the administrative center.","RD","Predicted Relationship: entailment with 99.54% confidence."
"The capital is Abidjan since 1983 , but Yamoussoukro remains the administrative center .","Abidjan has been the capital since 1983 but Yamoussoukro has stayed as the administrative center.","hypernym","Predicted Relationship: entailment with 99.91% confidence."
"The capital is Abidjan since 1983 , but Yamoussoukro remains the administrative center .","Despite being the capital since 1983 Yamoussoukro has remained the administrative center.","polarity_negation","Predicted Relationship: entailment with 73.52% confidence."
"The capital is Abidjan since 1983 , but Yamoussoukro remains the administrative center .","The capital has been in Abidjan since 1983 but Yamoussoukro remains the administrative center.","RS","Predicted Relationship: entailment with 99.86% confidence."
"The capital is Abidjan since 1983 , but Yamoussoukro remains the administrative center .","Despite being in lowercase since 1983 Yamoussoukro has remained the administrative center of Abidjan.","antonym","Predicted Relationship: neutral with 70.76% confidence."
"`` 2 '' Benjamin Hough was married on 29 August 1806 by Stephen Ford , Justice of Peace , in Jefferson County with Elizabeth Core .","2. Benjamin Hough and Stephen Ford JP Jefferson County married Elizabeth Core on August 29th.","RD","Predicted Relationship: entailment with 98.52% confidence."
"`` 2 '' Benjamin Hough was married on 29 August 1806 by Stephen Ford , Justice of Peace , in Jefferson County with Elizabeth Core .","2. Benjamin Hough and Stephen Ford Peace Justice Jefferson 1806-29","hypernym","Predicted Relationship: neutral with 66.75% confidence."
"`` 2 '' Benjamin Hough was married on 29 August 1806 by Stephen Ford , Justice of Peace , in Jefferson County with Elizabeth Core .","2. Benjamin Hough married Peace Justice Stephen Ford in Jefferson County on August 29 1806 to n'Elizabeth Core.","polarity_negation","Predicted Relationship: entailment with 76.93% confidence."
"`` 2 '' Benjamin Hough was married on 29 August 1806 by Stephen Ford , Justice of Peace , in Jefferson County with Elizabeth Core .","James Hough and Stephen Ford Peace Justice Jefferson married in Core on August 29 1806.","RS","Predicted Relationship: contradiction with 90.48% confidence."
"`` 2 '' Benjamin Hough was married on 29 August 1806 by Stephen Ford , Justice of Peace , in Jefferson County with Elizabeth Core .","2. Benjamin Hough and Stephen Ford of Jefferson Peace Injustice Married Elizabeth Core August 29 1806.","antonym","Predicted Relationship: entailment with 97.78% confidence."
"Huyghe was born in 1962 in Paris , he lives and works in Chile and New York .","Huyghe was born in 1962 in Chicago lived and worked in Chile.","RD","Predicted Relationship: contradiction with 92.74% confidence."
"Huyghe was born in 1962 in Paris , he lives and works in Chile and New York .","Huyghe was born in Paris in 1962 lived and worked in Chile and New York.","hypernym","Predicted Relationship: entailment with 99.72% confidence."
"Huyghe was born in 1962 in Paris , he lives and works in Chile and New York .","Huyghe was born in Paris in 1962 lived and worked in Chile and New York.","polarity_negation","Predicted Relationship: entailment with 99.72% confidence."
"Huyghe was born in 1962 in Paris , he lives and works in Chile and New York .","Huyghe was born in Paris in 1962 lived and worked in Chile New York.","RS","Predicted Relationship: entailment with 99.35% confidence."
"Huyghe was born in 1962 in Paris , he lives and works in Chile and New York .","Huyghe was born in Paris in 1962 lived and worked in Chile New York.","antonym","Predicted Relationship: entailment with 99.35% confidence."
"Norman Melancton Geddes , born Norman Bel Geddes , ( April 27 , 1893 -- May 8 , 1958 ) was an American theatrical and industrial designer .","Norman Melancton was born April 27 1893 to August 8 1958.","RD","Predicted Relationship: contradiction with 88.91% confidence."
"Norman Melancton Geddes , born Norman Bel Geddes , ( April 27 , 1893 -- May 8 , 1958 ) was an American theatrical and industrial designer .","The Analyser Norman Melancton Geddes was born April 27 1893 to August 8 1958.","hypernym","Predicted Relationship: contradiction with 91.30% confidence."
"Norman Melancton Geddes , born Norman Bel Geddes , ( April 27 , 1893 -- May 8 , 1958 ) was an American theatrical and industrial designer .","Norman Melancton Geddes was born April 27 1893 not August 8 1958.","polarity_negation","Predicted Relationship: entailment with 99.08% confidence."
"Norman Melancton Geddes , born Norman Bel Geddes , ( April 27 , 1893 -- May 8 , 1958 ) was an American theatrical and industrial designer .","b>Norman Melancton Geddes/b> (April 27 1893 - May 8 1958)","RS","Predicted Relationship: entailment with 98.82% confidence."
"Norman Melancton Geddes , born Norman Bel Geddes , ( April 27 , 1893 -- May 8 , 1958 ) was an American theatrical and industrial designer .","b>Norman Melancton Geddes/b> (April 27 1893 - May 8 1958)","antonym","Predicted Relationship: entailment with 98.82% confidence."
"The Spanish women 's national team represents Spain in international squash team competitions and is governed by the Real Federación Española de Squash .","The Spanish national team represents Spain in squash competitions and is governed by the Real Federation Espaola de squash.","RD","Predicted Relationship: entailment with 69.47% confidence."
"The Spanish women 's national team represents Spain in international squash team competitions and is governed by the Real Federación Española de Squash .","The Spanish national team represents Spain in international squash competitions and is required by the Real Federation Espaola de squash.","hypernym","Predicted Relationship: neutral with 70.46% confidence."
"The Spanish women 's national team represents Spain in international squash team competitions and is governed by the Real Federación Española de Squash .","The Spanish national team represents Spain in international squash competitions and is governed by the Real Federation Espaola de squash (FESF).","polarity_negation","Predicted Relationship: entailment with 54.04% confidence."
"The Spanish women 's national team represents Spain in international squash team competitions and is governed by the Real Federación Española de Squash .","The Spanish national team represents Spain in the squash team de competition and is governed by the Real Federation Espaola squash international (FEI).","RS","Predicted Relationship: neutral with 47.32% confidence."
"The Spanish women 's national team represents Spain in international squash team competitions and is governed by the Real Federación Española de Squash .","Spanish national team represents Spain in international squash competitions and is deregulated by Real Federation Espaola de squash.","antonym","Predicted Relationship: contradiction with 52.56% confidence."
"In the south end , Cook Pond , also formerly known as South Watuppa Pond , is located east of the Laurel Lake and west of the Taunton River .","At the south end of Lake Larval Cook Pond formerly known as South Watuppa Pond is east of Lake Larval and west of the River.","RD","Predicted Relationship: contradiction with 60.55% confidence."
"In the south end , Cook Pond , also formerly known as South Watuppa Pond , is located east of the Laurel Lake and west of the Taunton River .","At the south end of Lake Larval east of Lake Larval and at the Cicily Isabel Fairfield of the Tennessee River Cook Pond formerly known as South Watuppa Pond is located.","hypernym","Predicted Relationship: entailment with 84.46% confidence."
"In the south end , Cook Pond , also formerly known as South Watuppa Pond , is located east of the Laurel Lake and west of the Taunton River .","At the south end of Lake Larval east of Lake Larval and west of the Taunton River Cook Pond which was previously known as South Watuppa Pond is located.","polarity_negation","Predicted Relationship: entailment with 95.07% confidence."
"In the south end , Cook Pond , also formerly known as South Watuppa Pond , is located east of the Laurel Lake and west of the Taunton River .","At the south end of Lake Larval Cook Pond formerly Watuppa Pond is located east of Lake Larval and west of River South.","RS","Predicted Relationship: neutral with 60.04% confidence."
"In the south end , Cook Pond , also formerly known as South Watuppa Pond , is located east of the Laurel Lake and west of the Taunton River .","At the south end of Lake Larval east of Lake Larval and west of the Taunton River Cook Pond is located formerly ignored as South Watuppa Pond.","antonym","Predicted Relationship: contradiction with 54.56% confidence."
"Her children were Marvin Eisenstadt , who married Barbara , Gladys Eisenstadt , Ira Eisenstadt , who married Deirdre Howley , and Ellen Eisenstadt , who married Herbert Cohen .","Her children were Marvin and Gladys Eisenstadt Herbert Cohen and Ellen Eisenstadt.","RD","Predicted Relationship: contradiction with 65.21% confidence."
"Her children were Marvin Eisenstadt , who married Barbara , Gladys Eisenstadt , Ira Eisenstadt , who married Deirdre Howley , and Ellen Eisenstadt , who married Herbert Cohen .","Her children were Marvin and Gladys Eisenstadt who married Barbara Eisenstadt Deirdre Howley and Ellen Eisenstadt who married Herbert Cohen.","hypernym","Predicted Relationship: entailment with 50.45% confidence."
"Her children were Marvin Eisenstadt , who married Barbara , Gladys Eisenstadt , Ira Eisenstadt , who married Deirdre Howley , and Ellen Eisenstadt , who married Herbert Cohen .","Her children were Marvin and Gladys Eisenstadt who married Barbara Eisenstadt Deirdre Howley who married Herbert Cohen and Ellen Eisenstadt who married Barbara Eisenstadt.","polarity_negation","Predicted Relationship: contradiction with 95.09% confidence."
"Her children were Marvin Eisenstadt , who married Barbara , Gladys Eisenstadt , Ira Eisenstadt , who married Deirdre Howley , and Ellen Eisenstadt , who married Herbert Cohen .","Her children were Marvin and Gladys Eisenstadt who married Albert Eisenstadt Ira Eisenstadt and Deirdre Howley and Ellen Eisenstadt.","RS","Predicted Relationship: contradiction with 71.52% confidence."
"Her children were Marvin Eisenstadt , who married Barbara , Gladys Eisenstadt , Ira Eisenstadt , who married Deirdre Howley , and Ellen Eisenstadt , who married Herbert Cohen .","Her children were Marvin and Gladys Eisenstadt who married Barbara Eisenstadt Deirdre Howley and Ellen Eisenstadt who married Herbert Cohen.","antonym","Predicted Relationship: entailment with 50.45% confidence."
"Air transportation is provided locally through smaller aircraft in East Taunton , Berkley , and the regional airport in New Bedford .","Air transport is provided locally from East Taunton to Berkley and from regional airports in Bedford.","RD","Predicted Relationship: entailment with 88.90% confidence."
"Air transportation is provided locally through smaller aircraft in East Taunton , Berkley , and the regional airport in New Bedford .","Air transport is provided locally from East Taunton to Berkley and from regional airports in New Bedford.","hypernym","Predicted Relationship: entailment with 93.64% confidence."
"Air transportation is provided locally through smaller aircraft in East Taunton , Berkley , and the regional airport in New Bedford .","Air transport is provided locally by East Taunton Berkley and no regional airport in New Bedford.","polarity_negation","Predicted Relationship: contradiction with 98.35% confidence."
"Air transportation is provided locally through smaller aircraft in East Taunton , Berkley , and the regional airport in New Bedford .","Air transport is provided locally from East Taunton to Bradford and from New Jersey to Bedford Airports.","RS","Predicted Relationship: neutral with 94.47% confidence."
"Air transportation is provided locally through smaller aircraft in East Taunton , Berkley , and the regional airport in New Bedford .","Air transport is provided nationally by East Taunton Berkley and New Bedford regional airports.","antonym","Predicted Relationship: contradiction with 57.43% confidence."
"Aamir Khan has agreed to play immediately after reading Mehra 's script in `` Rang De Basanti '' .","Amir agreed to play immediately after reading Mehra's script for Rang De Basanti.","RD","Predicted Relationship: entailment with 99.60% confidence."
"Aamir Khan has agreed to play immediately after reading Mehra 's script in `` Rang De Basanti '' .","Amir Khan agreed to perform immediately after reading Mehra's script for Rang De Basanti.","hypernym","Predicted Relationship: entailment with 99.63% confidence."
"Aamir Khan has agreed to play immediately after reading Mehra 's script in `` Rang De Basanti '' .","Amir Khan agreed to play immediately after reading the non-Mehra script for Rang De Basanti.","polarity_negation","Predicted Relationship: contradiction with 49.96% confidence."
"Aamir Khan has agreed to play immediately after reading Mehra 's script in `` Rang De Basanti '' .","Khan Basanti agreed to play immediately after reading Mehra's script for Rag De Aamir.","RS","Predicted Relationship: contradiction with 97.83% confidence."
"Aamir Khan has agreed to play immediately after reading Mehra 's script in `` Rang De Basanti '' .","Amir Khan agreed to play after reading Mehra's script for Rang De Basanti as a mediator.","antonym","Predicted Relationship: neutral with 97.73% confidence."
"The station was furnished in 1947 by the British Falkland Islands Dependencies Survey as Station F or `` Winter Island '' on the Argentine islands .","The British Falklands Dependencies Survey was furnished in 1947 as Station F or Winter Island in Argentina.","RD","Predicted Relationship: entailment with 94.39% confidence."
"The station was furnished in 1947 by the British Falkland Islands Dependencies Survey as Station F or `` Winter Island '' on the Argentine islands .","The British Falklands Dependencies Survey (BFIDS) furnished the station as Station F or Winter Island in Argentina in 1947.","hypernym","Predicted Relationship: entailment with 98.72% confidence."
"The station was furnished in 1947 by the British Falkland Islands Dependencies Survey as Station F or `` Winter Island '' on the Argentine islands .","The British Falklands Dependencies Survey (BFIS) furnished the station as Station F or Winter Island in Argentina in 1947.","polarity_negation","Predicted Relationship: entailment with 97.50% confidence."
"The station was furnished in 1947 by the British Falkland Islands Dependencies Survey as Station F or `` Winter Island '' on the Argentine islands .","The Falklands Dependencies Survey Winter (FISD) furnished the station as Station F or British in Argentina in 1947.","RS","Predicted Relationship: neutral with 53.51% confidence."
"The station was furnished in 1947 by the British Falkland Islands Dependencies Survey as Station F or `` Winter Island '' on the Argentine islands .","The British Falklands Dependencies Survey (BIDS) furnished the station as Station F or Winter Island in Argentina in 1947.","antonym","Predicted Relationship: entailment with 98.12% confidence."
"A new molecular entity ( NME ) contains a drug that is an active moiety that has never been approved by the FDA or marketed in the US .","The new molecule name contains an active moiety drug that has never been approved by the FDA and is not marketable in the US.","RD","Predicted Relationship: entailment with 68.20% confidence."
"A new molecular entity ( NME ) contains a drug that is an active moiety that has never been approved by the FDA or marketed in the US .","The new molecule NME contains an active moiety drug that has never been approved by the FDA and is not marketable in the US.","hypernym","Predicted Relationship: entailment with 86.01% confidence."
"A new molecular entity ( NME ) contains a drug that is an active moiety that has never been approved by the FDA or marketed in the US .","The new molecule NME contains an active moiety drug that has never been approved by the FDA and is not marketable in the US.","polarity_negation","Predicted Relationship: entailment with 86.01% confidence."
"A new molecular entity ( NME ) contains a drug that is an active moiety that has never been approved by the FDA or marketed in the US .","The new US NME contains an active moiety drug that has never been approved by the FDA and is not commercialized in the US.","RS","Predicted Relationship: entailment with 60.51% confidence."
"A new molecular entity ( NME ) contains a drug that is an active moiety that has never been approved by the FDA or marketed in the US .","The new molecule NME contains an active moiety drug that has never been disapproved by the FDA and is not marketable in the US.","antonym","Predicted Relationship: neutral with 59.29% confidence."
"Indirect evidence for dark matter comes from its gravitational influence on dark matter , as no other matter particles have been observed in laboratories .","The evidence of dark matter comes not directly from gravity as the matter particles are not observed in laboratories.","RD","Predicted Relationship: entailment with 97.48% confidence."
"Indirect evidence for dark matter comes from its gravitational influence on dark matter , as no other matter particles have been observed in laboratories .","The indicants of dark matter come not directly from the gravity influence but from the fact that the other matter particles are not observed in laboratories.","hypernym","Predicted Relationship: entailment with 99.26% confidence."
"Indirect evidence for dark matter comes from its gravitational influence on dark matter , as no other matter particles have been observed in laboratories .","The evidence of dark matter comes not directly from gravity as the other matter particles are not observed in laboratories.","polarity_negation","Predicted Relationship: entailment with 98.59% confidence."
"Indirect evidence for dark matter comes from its gravitational influence on dark matter , as no other matter particles have been observed in laboratories .","The evidence of dark matter comes not directly from gravity but from the fact that laboratory matter particles are not observed in other places.","RS","Predicted Relationship: entailment with 97.23% confidence."
"Indirect evidence for dark matter comes from its gravitational influence on dark matter , as no other matter particles have been observed in laboratories .","The evidence of dark matter comes not directly from gravity as the other matter particles are not disrespected in laboratories.","antonym","Predicted Relationship: entailment with 51.49% confidence."
"Nearby is the Wallowa River , a tributary of the Lostine River , east of the Wallowa Mountains in the northeast of Oregon .","The Willow River is a tributary of the Lostine River located east of the Willow Mountains in northeast Oregon.","RD","Predicted Relationship: neutral with 80.58% confidence."
"Nearby is the Wallowa River , a tributary of the Lostine River , east of the Wallowa Mountains in the northeast of Oregon .","The Willow River a tributary of the Lostine River is near the Willow Mountains east of the northeastern Oregon state line.","hypernym","Predicted Relationship: neutral with 78.46% confidence."
"Nearby is the Wallowa River , a tributary of the Lostine River , east of the Wallowa Mountains in the northeast of Oregon .","The Willow River a tributary to the Lostine River is near the Washoe Mountains east of the Oregon state line.","polarity_negation","Predicted Relationship: neutral with 67.82% confidence."
"Nearby is the Wallowa River , a tributary of the Lostine River , east of the Wallowa Mountains in the northeast of Oregon .","Near the name of the River a tributary of the River of Lostine east of the Willow Mountains in northeastern Oregon.","RS","Predicted Relationship: contradiction with 63.07% confidence."
"Nearby is the Wallowa River , a tributary of the Lostine River , east of the Wallowa Mountains in the northeast of Oregon .","The Willow River a tributary to the Lostine River is far far east of the Willow Mountains in northeast Oregon.","antonym","Predicted Relationship: contradiction with 89.63% confidence."
"The first , or `` narrow '' , system consists of red lines of ( O III ) and other ionized elements at a redshift of z = 0.712 .","The first narrow system consisted of a red line of III and other ionic elements with a radial concentration of 0.712 radians.","RD","Predicted Relationship: neutral with 88.68% confidence."
"The first , or `` narrow '' , system consists of red lines of ( O III ) and other ionized elements at a redshift of z = 0.712 .","The first narrow system consisted of a red line of O III and other ionic elements with a radial concentration of 0.712 radians.","hypernym","Predicted Relationship: neutral with 87.92% confidence."
"The first , or `` narrow '' , system consists of red lines of ( O III ) and other ionized elements at a redshift of z = 0.712 .","The first narrow system consisted of an O III non-red line and other ionic elements at a radial concentration of 0.712 radians.","polarity_negation","Predicted Relationship: contradiction with 92.92% confidence."
"The first , or `` narrow '' , system consists of red lines of ( O III ) and other ionized elements at a redshift of z = 0.712 .","The first narrow system consisted of a red line of O III and radian ionized elements with the other 0.712 being the red equivalent.","RS","Predicted Relationship: neutral with 86.61% confidence."
"The first , or `` narrow '' , system consists of red lines of ( O III ) and other ionized elements at a redshift of z = 0.712 .","The first wide system consisted of a red line of O III and other ionic elements with a radial concentration of 0.712 radians.","antonym","Predicted Relationship: contradiction with 68.25% confidence."
"In early July , Steve Whitley , the criminal father of Harper Whitley and Garrett Whitley , and brother of Benny Cameron .","In early July Steve Whitley the criminal father of Harry and Garrett Whitley was the son of Benny Cameron.","RD","Predicted Relationship: contradiction with 94.53% confidence."
"In early July , Steve Whitley , the criminal father of Harper Whitley and Garrett Whitley , and brother of Benny Cameron .","In early July Steve Whitley brother of Johnny Cameron was a criminal father of Harper and Garrett Whitley.","hypernym","Predicted Relationship: entailment with 66.83% confidence."
"In early July , Steve Whitley , the criminal father of Harper Whitley and Garrett Whitley , and brother of Benny Cameron .","In early July Steve Whitley brother of Benny Cameron was a criminal father to Harper and Garrett Whitley.","polarity_negation","Predicted Relationship: entailment with 99.66% confidence."
"In early July , Steve Whitley , the criminal father of Harper Whitley and Garrett Whitley , and brother of Benny Cameron .","Harry and Garrett Whitley were criminals their father Steve and brother Benny Cameron in early July.","RS","Predicted Relationship: entailment with 62.10% confidence."
"In early July , Steve Whitley , the criminal father of Harper Whitley and Garrett Whitley , and brother of Benny Cameron .","Steve Whitley was the criminal father of Harper and Garrett Whitley and the brother of Benny Cameron in early July.","antonym","Predicted Relationship: entailment with 99.59% confidence."
"Inspired by the Nisbett and Wilson paper , Petter Johansson and colleagues investigated subjects ' insight into their own preferences using a new technique .","In keeping with the paper by Peter Johansson and Wilson both of them have investigated the subject's preferences in a new technique.","RD","Predicted Relationship: entailment with 82.55% confidence."
"Inspired by the Nisbett and Wilson paper , Petter Johansson and colleagues investigated subjects ' insight into their own preferences using a new technique .","In keeping with the paper by Nisbett and Wilson Peter Johansson and his associates investigated the subject's preferences with new techniques.","hypernym","Predicted Relationship: entailment with 99.51% confidence."
"Inspired by the Nisbett and Wilson paper , Petter Johansson and colleagues investigated subjects ' insight into their own preferences using a new technique .","a href="http://www.nisbett.org/articles/2011/06/14/petter-johansson-and-colleagues/">Petter Johansson and colleagues investigate the subject's preferences without new techniques inspired by papers by Nisbett and Wilson./a>","polarity_negation","Predicted Relationship: contradiction with 98.42% confidence."
"Inspired by the Nisbett and Wilson paper , Petter Johansson and colleagues investigated subjects ' insight into their own preferences using a new technique .","New Petter and his colleagues investigated the subject's preferences with the Johansson technique inspired by papers by Nisbett and Wilson.","RS","Predicted Relationship: entailment with 73.24% confidence."
"Inspired by the Nisbett and Wilson paper , Petter Johansson and colleagues investigated subjects ' insight into their own preferences using a new technique .","In keeping with the paper by Nisbett and Wilson Peter Johansson and his abstinent colleagues investigated the subject's preferences with new techniques.","antonym","Predicted Relationship: neutral with 97.65% confidence."
"The album contains a remix of the material that was originally mixed by Nurse With Wound and was released in 2007 as a Disconnected .","The album contains remixes of the material Nurse With Wound mixed and released in 2007 as Disconnected.","RD","Predicted Relationship: entailment with 99.66% confidence."
"The album contains a remix of the material that was originally mixed by Nurse With Wound and was released in 2007 as a Disconnected .","The album contains remixes of material originally mixed by Nurse With Wound and released in 2007 as Disconnected.","hypernym","Predicted Relationship: entailment with 99.56% confidence."
"The album contains a remix of the material that was originally mixed by Nurse With Wound and was released in 2007 as a Disconnected .","The album contains remixes of original Nursing With Wound mixes released in 2007 as Disconnected.","polarity_negation","Predicted Relationship: entailment with 99.59% confidence."
"The album contains a remix of the material that was originally mixed by Nurse With Wound and was released in 2007 as a Disconnected .","The album contains remixes of the material Nurse With Original Mixed 'Wound' released in 2007 as Disconnected.","RS","Predicted Relationship: entailment with 50.91% confidence."
"The album contains a remix of the material that was originally mixed by Nurse With Wound and was released in 2007 as a Disconnected .","The album contains a remix of the incorporeal originally mixed by Nurse With Wound and released in 2007 as Disconnected.","antonym","Predicted Relationship: neutral with 85.68% confidence."
"Scherer was an investor in Thunderbird Hotel , the Las Vegas Club and the Sahara Hotel .","The investor is a Thunderbird Hotel Las Vegas Club and Sahara Hotel.","RD","Predicted Relationship: contradiction with 51.34% confidence."
"Scherer was an investor in Thunderbird Hotel , the Las Vegas Club and the Sahara Hotel .","Scherer is an investor in Thunderbird Hotel Las Vegas Club and Sahara Hotel.","hypernym","Predicted Relationship: entailment with 98.57% confidence."
"Scherer was an investor in Thunderbird Hotel , the Las Vegas Club and the Sahara Hotel .","Scherer is not an investor in Thunderbird Hotel Las Vegas Club and Sahara Hotel.","polarity_negation","Predicted Relationship: contradiction with 94.24% confidence."
"Scherer was an investor in Thunderbird Hotel , the Las Vegas Club and the Sahara Hotel .","Scherer is an investor in Thunderbird Hotel Las Vegas Club and Sahara Hotel.","RS","Predicted Relationship: entailment with 98.57% confidence."
"Scherer was an investor in Thunderbird Hotel , the Las Vegas Club and the Sahara Hotel .","Scherer is a divestee of Thunderbird Hotel Las Vegas Club and Sahara Hotel.","antonym","Predicted Relationship: contradiction with 53.84% confidence."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","The Met proposed to extend from South Kensington to Tower Hill and from Moore to South Kensington and received royal consent on July 29 1864.","RD","Predicted Relationship: entailment with 80.39% confidence."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","The Met proposed to extend from Paddington to South Kensington and from Moore to Tower Hill to the south and received royal consent on 29 July 1864.","hypernym","Predicted Relationship: entailment with 99.73% confidence."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","The Met proposed to extend from Paddington to South Kensington and from Moore to Tower Hill not to the south and received royal consent on 29 July 1864.","polarity_negation","Predicted Relationship: contradiction with 87.53% confidence."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","Tower proposed to extend from Paddington to South Kensington and from Moore to Hill Met to the south and received royal consent on 29 July 1864.","RS","Predicted Relationship: contradiction with 96.86% confidence."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","The Met proposed to extend from Paddington to South Kensington and from Moore to Tower Hill to the south and received royal consent on 29 July 1864.","antonym","Predicted Relationship: entailment with 99.73% confidence."
"Archery in this context is also known as one of the `` Impalement Arts '' , a category that sometimes includes knife throwing and shooting - demonstrations .","In this context archery is also known as one of the art of impalement sometimes demonstrating throwing and shooting.","RD","Predicted Relationship: entailment with 98.90% confidence."
"Archery in this context is also known as one of the `` Impalement Arts '' , a category that sometimes includes knife throwing and shooting - demonstrations .","In this context archery is also known as one of the art of impalement sometimes demonstrating knife throwing and killing.","hypernym","Predicted Relationship: neutral with 95.25% confidence."
"Archery in this context is also known as one of the `` Impalement Arts '' , a category that sometimes includes knife throwing and shooting - demonstrations .","Archery is also known in this context as one of the immature arts sometimes demonstrating knife throwing and shooting.","polarity_negation","Predicted Relationship: neutral with 76.69% confidence."
"Archery in this context is also known as one of the `` Impalement Arts '' , a category that sometimes includes knife throwing and shooting - demonstrations .","Archery is also known in the context of impalement as one of these artefacts sometimes demonstrating knife throwing and shooting.","RS","Predicted Relationship: entailment with 88.43% confidence."
"Archery in this context is also known as one of the `` Impalement Arts '' , a category that sometimes includes knife throwing and shooting - demonstrations .","In this context archery is also known to be excluded from the art of impalement sometimes demonstrating knife throwing and shooting.","antonym","Predicted Relationship: contradiction with 90.48% confidence."
"A dark retreat is a solo place of retreat in a space that is completely without light .","A dark retreat is a place for retreat in a space that has no complete light.","RD","Predicted Relationship: entailment with 98.84% confidence."
"A dark retreat is a solo place of retreat in a space that is completely without light .","A dark retreat is a place for solo retreat in a location that has no complete light.","hypernym","Predicted Relationship: entailment with 99.65% confidence."
"A dark retreat is a solo place of retreat in a space that is completely without light .","A dark retreat is not a place for solo retreat in a space with complete darkness.","polarity_negation","Predicted Relationship: contradiction with 91.72% confidence."
"A dark retreat is a solo place of retreat in a space that is completely without light .","Solo retreats are dark places for retreat in spaces that have no complete light.","RS","Predicted Relationship: entailment with 99.31% confidence."
"A dark retreat is a solo place of retreat in a space that is completely without light .","Dark advance is a place for solo retreat in a space without complete light.","antonym","Predicted Relationship: entailment with 93.84% confidence."
"In the early 1950s , Fiaminghi began creating works that were abstract art and incorporated elements of constructive art .","In the early 1950s Faminghi began creating abstract art incorporating constructive elements.","RD","Predicted Relationship: entailment with 99.76% confidence."
"In the early 1950s , Fiaminghi began creating works that were abstract art and incorporated elements of constructive art .","In the early 1950s Faminghi began creating displacements in abstract art incorporating constructive elements.","hypernym","Predicted Relationship: neutral with 70.28% confidence."
"In the early 1950s , Fiaminghi began creating works that were abstract art and incorporated elements of constructive art .","In the early 1950s Faminghi began creating abstract art works that incorporated no constructive elements.","polarity_negation","Predicted Relationship: contradiction with 96.59% confidence."
"In the early 1950s , Fiaminghi began creating works that were abstract art and incorporated elements of constructive art .","In the early 1950s Faminghi began creating abstract works of art incorporating constructive art elements.","RS","Predicted Relationship: entailment with 99.78% confidence."
"In the early 1950s , Fiaminghi began creating works that were abstract art and incorporated elements of constructive art .","In the early 1950s Faminghi began creating idle abstract art incorporating constructive elements.","antonym","Predicted Relationship: entailment with 71.56% confidence."
"The Continental League was the last serious attempt to create a new league consisting of third major clubs .","The CPL is the first attempt at creating a new league of 3 major clubs.","RD","Predicted Relationship: contradiction with 97.97% confidence."
"The Continental League was the last serious attempt to create a new league consisting of third major clubs .","The CPL is a serious attempt to create a new league of 3 major clubs.","hypernym","Predicted Relationship: entailment with 63.66% confidence."
"The Continental League was the last serious attempt to create a new league consisting of third major clubs .","The CPL is a serious attempt to create a new league of 3 major clubs.","polarity_negation","Predicted Relationship: entailment with 63.66% confidence."
"The Continental League was the last serious attempt to create a new league consisting of third major clubs .","The League One is a serious attempt to create a new league of 3 major clubs.","RS","Predicted Relationship: neutral with 75.49% confidence."
"The Continental League was the last serious attempt to create a new league consisting of third major clubs .","The CPL is a serious attempt to create a new league of 3 minor clubs.","antonym","Predicted Relationship: contradiction with 59.95% confidence."
"It was the sixth edition of the tournament and the third stop of the 2013 -- 14 IRB Sevens World Series .","The tournament is the third edition and will be stopped by in the 14 IRB Sevens World Series games in 2013.","RD","Predicted Relationship: contradiction with 98.97% confidence."
